AAPL,NVDA,TSLA,META
-0.004490583657645040,0.009641006377844040,0.002614584056873360,0.04041113299075260
0.027941791708429700,0.026161419711901200,0.02284097771296030,0.011753956319281400
-0.0069126266083346700,-0.008797342622454760,-0.011770465503008500,-0.009962997763795650
-0.02019600197712800,-0.03327359572002290,-0.04935894253519090,-0.029647454842371800
0.004154915252682370,-0.00855895069446584,0.015929083234572200,-0.012124095178958400
0.005128255241068370,0.023962308223015300,-0.034440713289359100,0.015238117062816600
0.0014838315610615300,0.008453578240129380,-0.012065159218404200,0.027187030518888500
-0.012350396901205400,-0.005925479391323270,0.039029424523405200,-0.009744011606080490
0.018591865501656100,0.03635035069041600,0.04958242699342900,0.022420389476921500
0.006934364897230120,0.03413444897753620,-0.00929552576717066,0.013924926586935600
0.023303631961083200,0.01264426153952910,0.043324388497766300,0.03374419075041230
0.0024591398249156100,-0.009048900957832080,0.0008244361718844320,-0.008615751373732370
0.01330162250458130,0.020139873123371000,-0.03031223705748460,0.022056493043722200
0.019051246759217000,0.012192719099832000,0.018941076007001700,-0.0002237109549836180
0.020049228043261700,0.005780430464489180,-0.009964638245883380,-0.0017906056871567400
-0.01332148900471220,0.05465907012378600,0.03620406408291570,-0.002948737109399750
0.02401581073256330,0.030466852182439800,0.0824615371588125,-0.0057299484498061300
-0.018014420330084300,-0.02600564926883260,-0.04027179907894090,-0.022659212722632200
0.01853520883194000,0.054781908802536700,0.009000306677510110,0.016376599083221200
