AAPL,NVDA,TSLA,META
-0.007955965016123716,0.03923208175162622,-0.007523861011181039,0.006831353943135876
0.008700362870162282,-0.007483529154095905,0.02265977238418918,0.023670154870713254
0.03616846107593891,0.05325814772459277,0.001533904013606828,0.003861059344094519
-0.02092576649174461,-0.035639309927709424,-0.035246480304529995,-0.01053207857599426
-0.01216469863651103,-0.02118012059260918,-0.0156588550190791,0.011795693779715694
-0.01038543731641724,0.017625087417726264,0.02783267714915969,0.008324265118446502
0.008953708853433521,-0.002094335664657923,0.0260243331388298,-0.010853279698431893
0.001325794993679529,0.004240341091603874,0.01369611080354769,-0.0019309712976725213
0.006496057582934438,0.012948230595025206,0.004440617326900639,0.006862599859864401
0.00676856252164604,0.015034558446528911,0.03275989192109418,0.011986218592383833
0.014431951656272335,0.003942163289362575,-0.011477252828966885,0.032081948750910326
0.006831835404541363,0.030248288171362936,0.0205308104637668,-0.0037958584479537857
0.001738738143922333,-0.0019104627577301496,-0.08593722216784855,0.014189612489026655
0.0066715991064917905,0.014187764499601505,0.026459970073128034,-0.0017059182452006571
0.015614036949796782,0.004389166463180144,-0.006421561243439884,-0.0045058098665427225
-0.0030032088743346887,-0.013279121050369751,-0.0032630303024267517,0.015035131079799806
0.005598246505712102,0.014894323420652927,0.01367711069116183,0.0013506629036980863
-0.008358838912570546,-0.0029195779069483515,-0.0280652786610601,-0.0017448598892331416
-0.00040220850155801683,-0.008019928224305155,-0.0026859862524520168,0.008917545671909794
0.001808585389407004,-0.028343480342001907,-0.004943052898305119,0.003065935042596067
0.00010026517296815696,0.018825244876313513,0.025865779778642663,-0.004351052275996024
0.019286087814998753,-0.004900256608928783,-0.007822448958816279,-0.0005033443090918912
0.0035873644726743467,-0.005300051351598126,0.007456485905066215,-0.002800750213097833
0.003280864887092828,0.0115806604113109,-0.039220700589321714,0.017569652683477703
0.014320352491613498,0.011605505339813315,0.004367189004715511,0.012814356915083954
-0.001543571634316392,0.0026188309722350992,-0.020055756342084126,-0.0065508857137522
-0.009116685233910378,-0.0225356911016711,-0.043578711545985846,0.05684795367180254
-0.004785167291377844,-0.04833833786533266,-0.051754657790314386,-0.009200804467695311
0.0015163083467753496,0.006938882783739546,0.026564156668391885,0.017035319480249875
-0.019443931172144473,0.009269301427463437,-0.011579538159972131,-0.007110253152249667
